date,ticker,price
2024-01-01,AAPL,151.84954546371637
2024-01-02,AAPL,151.73971905575516
2024-01-03,AAPL,152.39563056482626
2024-01-04,AAPL,152.59086873297423
2024-01-05,AAPL,152.78665862246464
2024-01-06,AAPL,151.751072708091
2024-01-07,AAPL,151.2538103949226
2024-01-08,AAPL,151.87092758094755
2024-01-09,AAPL,151.03844115598508
2024-01-10,AAPL,150.9896564434772
2024-01-11,AAPL,152.9952049720487
2024-01-12,AAPL,155.14889572516088
2024-01-13,AAPL,156.24463224899606
2024-01-14,AAPL,155.33091001489458
2024-01-15,AAPL,153.6625757779043
2024-01-16,AAPL,154.2622661438827
2024-01-17,AAPL,154.79633454574275
2024-01-18,AAPL,154.19084041407172
2024-01-19,AAPL,155.26778016588528
2024-01-20,AAPL,156.29004071244862
