date,ticker,price
2024-01-01,AAPL,150.53603226877235
2024-01-02,AAPL,152.43175503409074
2024-01-03,AAPL,151.32944932897888
2024-01-04,AAPL,151.79333588557083
2024-01-05,AAPL,151.84703986388308
2024-01-06,AAPL,152.09413944540964
2024-01-07,AAPL,151.92686610688372
2024-01-08,AAPL,151.93391052238317
2024-01-09,AAPL,152.0032540245124
2024-01-10,AAPL,150.46787547164556
2024-01-11,AAPL,149.2223612184455
2024-01-12,AAPL,149.76193999140406
2024-01-13,AAPL,150.66277317908407
2024-01-14,AAPL,151.234697944603
2024-01-15,AAPL,152.4954084400575
2024-01-16,AAPL,151.48182471125332
2024-01-17,AAPL,152.10071376414496
2024-01-18,AAPL,151.5721681620267
2024-01-19,AAPL,153.80739739295106
2024-01-20,AAPL,152.55574058848364
