#,Company,Symbol,Weight,Price,Chg,% Chg
482,Campbell Soup Company,CPB,0.02%,32.52,0.13,(0.40%)
483,Molina Healthcare,MOH,0.02%,174.45,0.85,(0.49%)
484,AES Corporation,AES,0.02%,13.07,-0.13,(-1.02%)
485,EPAM Systems,EPAM,0.02%,166.39,-0.06,(-0.03%)
486,Albemarle Corporation,ALB,0.02%,78.73,0.60,(0.77%)
487,Conagra Brands,CAG,0.02%,19.32,0.07,(0.36%)
488,Invesco,IVZ,0.02%,20.58,-0.20,(-0.96%)
489,Match Group,MTCH,0.02%,36.78,-0.23,(-0.62%)
490,CarMax,KMX,0.02%,57.92,0.11,(0.19%)
491,Bio-Techne,TECH,0.01%,54.0,-0.34,(-0.62%)
492,Federal Realty Investment Trust,FRT,0.01%,96.32,-0.12,(-0.12%)
493,Henry Schein,HSIC,0.01%,68.23,-0.42,(-0.60%)
494,LKQ Corporation,LKQ,0.01%,30.61,-0.01,(-0.03%)
495,Mohawk Industries,MHK,0.01%,124.21,0.16,(0.13%)
496,Lamb Weston,LW,0.01%,54.68,-0.52,(-0.93%)
497,Charles River Laboratories,CRL,0.01%,154.43,-5.15,(-3.23%)
498,Eastman Chemical Company,EMN,0.01%,66.03,-0.59,(-0.89%)
499,APA Corporation,APA,0.01%,20.7,0.36,(1.77%)
500,MarketAxess,MKTX,0.01%,186.9,-2.22,(-1.18%)
501,News Corp (Class B),NWS,0.01%,34.47,0.25,(0.73%)
502,Caesars Entertainment,CZR,0.01%,24.97,-0.25,(-0.98%)
503,Enphase Energy,ENPH,0.01%,34.47,-1.21,(-3.39%)
SPY,S&P 500 ETF,636.33,-1.78,,,
QQQ,Nasdaq 100 ETF,563.86,-2.04,,,
DIA,Dow Jones ETF,448.54,-0.82,,,
S&P 500,Magnificent 7,ARK Innovation,,,,
Nasdaq 100,Berkshire Hathaway,Cryptocurrency,,,,
Dow Jones,Blackrock,Treasury,,,,
